Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,Client\FUTBOLERO.Client.csproj,File,Client\FUTBOLERO.Client.csproj,,,Microsoft.AspNetCore.Components.Authorization 3.1.19,,,,,"Microsoft.AspNetCore.Components.Authorization, 3.1.19  Recomendación:  Remove Microsoft.AspNetCore.Components.Authorization, and replace with new package Microsoft.AspNetCore.Components.Authorization 10.0.5"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,Client\FUTBOLERO.Client.csproj,File,Client\FUTBOLERO.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 3.2.1,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 3.2.1  Recomendación:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.5"
NuGet.0003,La funcionalidad del paquete NuGet se incluye con la referencia del marco,Active,Mandatory,1,Client\FUTBOLERO.Client.csproj,File,Client\FUTBOLERO.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.Build 3.2.1,,,,,"Microsoft.AspNetCore.Components.WebAssembly.Build, 3.2.1  Recomendación:  Funcionalidad de paquete incluida con la nueva referencia de marco"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,Client\FUTBOLERO.Client.csproj,File,Client\FUTBOLERO.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 3.2.1,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 3.2.1  Recomendación:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.5"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,Client\FUTBOLERO.Client.csproj,File,Client\FUTBOLERO.Client.csproj,,,System.Net.Http.Json 3.2.0,,,,,"System.Net.Http.Json, 3.2.0  Recomendación:  Remove System.Net.Http.Json, and replace with new package System.Net.Http.Json 10.0.5"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,Client\FUTBOLERO.Client.csproj,File,Client\FUTBOLERO.Client.csproj,,,EPPlus 5.7.4,,,,,"EPPlus, 5.7.4  Recomendación:  Debe reemplazarse. Remove EPPlus, and replace with new package EPPlus, 8.5.0"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,Client\FUTBOLERO.Client.csproj,File,Client\FUTBOLERO.Client.csproj,,,System.Net.Http.Json 3.2.0,,,,,"System.Net.Http.Json, 3.2.0  Recomendación:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove System.Net.Http.Json, and replace with new package System.Net.Http.Json, 10.0.5"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Client\FUTBOLERO.Client.csproj,File,Client\Program.cs,25,12,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Client\FUTBOLERO.Client.csproj,File,Client\Program.cs,25,12,M:System.Uri.#ctor(System.String),,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Client\FUTBOLERO.Client.csproj,File,Client\Program.cs,25,12,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,Server\FUTBOLERO.Server.csproj,File,Server\FUTBOLERO.Server.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.Server 3.2.1,,,,,"Microsoft.AspNetCore.Components.WebAssembly.Server, 3.2.1  Recomendación:  Remove Microsoft.AspNetCore.Components.WebAssembly.Server, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.Server 10.0.5"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,Server\FUTBOLERO.Server.csproj,File,Server\FUTBOLERO.Server.csproj,,,Microsoft.EntityFrameWorkCore.SqlServer 3.1.1,,,,,"Microsoft.EntityFrameWorkCore.SqlServer, 3.1.1  Recomendación:  Remove Microsoft.EntityFrameWorkCore.SqlServer, and replace with new package Microsoft.EntityFrameWorkCore.SqlServer 10.0.5"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,Server\FUTBOLERO.Server.csproj,File,Server\FUTBOLERO.Server.csproj,,,Microsoft.EntityFrameWorkCore.tools 3.1.1,,,,,"Microsoft.EntityFrameWorkCore.tools, 3.1.1  Recomendación:  Remove Microsoft.EntityFrameWorkCore.tools, and replace with new package Microsoft.EntityFrameWorkCore.tools 10.0.5"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,Server\FUTBOLERO.Server.csproj,File,Server\FUTBOLERO.Server.csproj,,,,,,,,Marco de destino actual: netcoreapp3.1 Marco de destino recomendado: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Server\FUTBOLERO.Server.csproj,File,Server\Controllers\ArbitroColegioController.cs,222,32,T:System.Security.Cryptography.SHA256Managed,,,,,SHA256Managed sha = new SHA256Managed();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Server\FUTBOLERO.Server.csproj,File,Server\Controllers\ArbitroColegioController.cs,165,36,T:System.Security.Cryptography.SHA256Managed,,,,,SHA256Managed sha = new SHA256Managed();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Server\FUTBOLERO.Server.csproj,File,Server\Controllers\UsuarioController.cs,312,24,T:System.Security.Cryptography.SHA256Managed,,,,,SHA256Managed sha = new SHA256Managed();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Server\FUTBOLERO.Server.csproj,File,Server\Controllers\UsuarioController.cs,226,32,T:System.Security.Cryptography.SHA256Managed,,,,,SHA256Managed sha = new SHA256Managed();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Server\FUTBOLERO.Server.csproj,File,Server\Controllers\UsuarioController.cs,150,32,T:System.Security.Cryptography.SHA256Managed,,,,,SHA256Managed sha = new SHA256Managed();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Server\FUTBOLERO.Server.csproj,File,Server\Controllers\UsuarioController.cs,99,20,T:System.Security.Cryptography.SHA256Managed,,,,,SHA256Managed sha = new SHA256Managed();
